company,date,environment,governance,riskscore,social,stock,symbol
"salesforce.com, inc.","Nov 06, 2020",9.2,5.1,25,10.8,260.15,CRM
"salesforce.com, inc.","Oct 31, 2020",9.2,5.1,25,10.8,260.15,CRM
"salesforce.com, inc.","Sep 30, 2020",9.2,5.1,25,10.8,232.27,CRM
"salesforce.com, inc.","Aug 31, 2020",9.2,5.1,25,10.8,251.32,CRM
"salesforce.com, inc.","Jul 31, 2020",9.2,5.1,25,10.8,272.65,CRM
"salesforce.com, inc.","Jun 30, 2020",9.2,5.1,25,10.8,194.85,CRM
"salesforce.com, inc.","May 31, 2020",9.2,5.1,25,10.8,187.33,CRM
"salesforce.com, inc.","Apr 30, 2020",9.2,5.1,25,10.8,174.79,CRM
"salesforce.com, inc.","Mar 31, 2020",9.2,5.1,25,10.8,161.95,CRM
"salesforce.com, inc.","Mar 01, 2020",9.2,5.1,25,10.8,143.98,CRM
"salesforce.com, inc.","Feb 01, 2020",9.2,5.1,25,10.8,170.40,CRM
"salesforce.com, inc.","Jan 01, 2020",9.2,5.1,25,10.8,182.31,CRM
"salesforce.com, inc.","Dec 01, 2019",9.2,5.1,25,10.8,162.64,CRM
"salesforce.com, inc.","Oct 31, 2019",9.2,5.1,25,10.8,162.89,CRM
"salesforce.com, inc.","Sep 30, 2019",9.2,5.1,25,10.8,156.49,CRM
"salesforce.com, inc.","Aug 31, 2019",9.2,5.1,25,10.8,148.44,CRM
"salesforce.com, inc.","Jul 31, 2019",9.2,5.1,25,10.8,156.07,CRM
"salesforce.com, inc.","Jun 30, 2019",9.2,5.1,25,10.8,154.50,CRM
"salesforce.com, inc.","May 31, 2019",9.2,5.1,25,10.8,151.73,CRM
"salesforce.com, inc.","Apr 30, 2019",9.2,5.1,25,10.8,151.41,CRM
"salesforce.com, inc.","Mar 31, 2019",9.2,5.1,25,10.8,165.35,CRM
"salesforce.com, inc.","Mar 01, 2019",9.2,5.1,25,10.8,158.37,CRM
"salesforce.com, inc.","Feb 01, 2019",9.2,5.1,25,10.8,163.65,CRM
"salesforce.com, inc.","Jan 01, 2019",9.2,5.1,25,10.8,151.97,CRM
"salesforce.com, inc.","Dec 01, 2018",9.2,5.1,25,10.8,136.97,CRM
"salesforce.com, inc.","Oct 31, 2018",9.2,5.1,25,10.8,142.76,CRM
"salesforce.com, inc.","Sep 30, 2018",9.2,5.1,25,10.8,137.24,CRM
"salesforce.com, inc.","Aug 31, 2018",9.2,5.1,25,10.8,159.03,CRM
"salesforce.com, inc.","Jul 31, 2018",9.2,5.1,25,10.8,152.68,CRM
"salesforce.com, inc.","Jun 30, 2018",9.2,5.1,25,10.8,137.15,CRM
"salesforce.com, inc.","May 31, 2018",9.2,5.1,25,10.8,136.40,CRM
"salesforce.com, inc.","Apr 30, 2018",9.2,5.1,25,10.8,129.33,CRM
"salesforce.com, inc.","Mar 31, 2018",9.2,5.1,25,10.8,120.99,CRM
"salesforce.com, inc.","Mar 01, 2018",9.2,5.1,25,10.8,116.30,CRM
"salesforce.com, inc.","Feb 01, 2018",9.2,5.1,25,10.8,116.25,CRM
"salesforce.com, inc.","Jan 01, 2018",9.2,5.1,25,10.8,113.91,CRM
"salesforce.com, inc.","Dec 01, 2017",9.2,5.1,25,10.8,102.23,CRM
"salesforce.com, inc.","Oct 31, 2017",9.2,5.1,25,10.8,104.32,CRM
"salesforce.com, inc.","Sep 30, 2017",9.2,5.1,25,10.8,102.34,CRM
"salesforce.com, inc.","Aug 31, 2017",9.2,5.1,25,10.8,93.42,CRM
"salesforce.com, inc.","Jul 31, 2017",9.2,5.1,25,10.8,95.49,CRM
"salesforce.com, inc.","Jun 30, 2017",9.2,5.1,25,10.8,90.80,CRM
"salesforce.com, inc.","May 31, 2017",9.2,5.1,25,10.8,86.60,CRM
"salesforce.com, inc.","Apr 30, 2017",9.2,5.1,25,10.8,89.64,CRM
"salesforce.com, inc.","Mar 31, 2017",9.2,5.1,25,10.8,86.12,CRM
"salesforce.com, inc.","Mar 01, 2017",9.2,5.1,25,10.8,82.49,CRM
"salesforce.com, inc.","Feb 01, 2017",9.2,5.1,25,10.8,81.35,CRM
"salesforce.com, inc.","Jan 01, 2017",9.2,5.1,25,10.8,79.10,CRM
"salesforce.com, inc.","Dec 01, 2016",9.2,5.1,25,10.8,68.46,CRM
"salesforce.com, inc.","Oct 31, 2016",9.2,5.1,25,10.8,72.00,CRM
"salesforce.com, inc.","Sep 30, 2016",9.2,5.1,25,10.8,75.16,CRM
"salesforce.com, inc.","Aug 31, 2016",9.2,5.1,25,10.8,71.33,CRM
"salesforce.com, inc.","Jul 31, 2016",9.2,5.1,25,10.8,79.42,CRM
"salesforce.com, inc.","Jun 30, 2016",9.2,5.1,25,10.8,81.80,CRM
"salesforce.com, inc.","May 31, 2016",9.2,5.1,25,10.8,79.41,CRM
"salesforce.com, inc.","Apr 30, 2016",9.2,5.1,25,10.8,83.71,CRM
